,ZIP_CODE,ZCTA,Population
13834,33525,33525,18439
13835,33526,33525,18439
13836,33574,33525,18439
13837,33527,33527,15203
13838,33587,33527,15203
13839,33530,33567,11505
13840,33567,33567,11505
13841,33534,33534,12839
13842,33538,33538,4789
13843,33539,33542,20824
13844,33542,33542,20824
13845,33541,33541,19759
13846,33543,33543,21898
13847,33544,33544,22800
13848,33545,33545,13996
13849,33547,33547,19813
13850,33548,33548,5807
13851,33549,33549,16132
13852,33550,33584,25392
13853,33583,33584,25392
13854,33584,33584,25392
13855,33556,33556,22015
13856,33558,33558,20064
13857,33559,33559,15427
13858,33563,33563,25488
13859,33564,33566,19522
13860,33566,33566,19522
13861,33565,33565,17975
13862,33568,33578,36693
13863,33578,33578,36693
13864,33569,33569,23074
13865,33570,33570,20758
13866,33575,33570,20758
13867,33586,33570,20758
13868,33571,33573,19172
13869,33573,33573,19172
13870,33572,33572,14117
13871,33576,33576,3784
13872,33579,33579,25723
13873,33585,33585,1058
13874,33592,33592,10091
13875,33594,33594,32677
13876,33595,33594,32677
13877,33596,33596,29283
13878,33597,33597,8026
13879,33598,33598,13665
13880,33601,33602,11515
13881,33602,33602,11515
13882,33646,33602,11515
13883,33655,33602,11515
13884,33672,33602,11515
13885,33603,33603,19100
13886,33673,33603,19100
13887,33604,33604,35485
13888,33674,33604,35485
13889,33605,33605,17073
13890,33675,33605,17073
13891,33606,33606,17746
13892,33607,33607,23541
13893,33622,33607,23541
13894,33623,33607,23541
13895,33630,33607,23541
13896,33631,33607,23541
13897,33633,33607,23541
13898,33650,33607,23541
13899,33663,33607,23541
13900,33664,33607,23541
13901,33677,33607,23541
13902,33608,33621,1643
13903,33621,33621,1643
13904,33609,33609,15999
13905,33610,33610,39222
13906,33680,33610,39222
13907,33611,33611,29478
13908,33681,33611,29478
13909,33612,33612,44601
13910,33682,33612,44601
13911,33613,33613,31990
13912,33614,33614,46449
13913,33615,33615,43453
13914,33685,33615,43453
13915,33616,33616,13560
13916,33686,33616,13560
13917,33617,33617,41443
13918,33687,33617,41443
13919,33618,33618,25570
13920,33688,33618,25570
13921,33619,33619,34581
13922,33660,33619,34581
13923,33661,33619,34581
13924,33662,33619,34581
13925,33689,33619,34581
13926,33620,33620,5158
13927,33624,33624,37457
13928,33625,33625,24645
13929,33694,33625,24645
13930,33626,33626,27557
13931,33629,33629,23638
13932,33679,33629,23638
13933,33634,33634,20225
13934,33684,33634,20225
13935,33635,33635,15741
13936,33637,33637,15351
13937,33647,33647,55034
13938,33701,33701,15014
13939,33731,33701,15014
13940,33702,33702,29664
13941,33732,33702,29664
13942,33742,33702,29664
13943,33703,33703,23680
